summonerId,summonerLevel,tier,rank,leaguePoints,plays,wins,mostPositionId,mostPosition,mostChampionIds
lcmP_mjFVdGwyQXohT65tZ_HJ06zOaVqB0dUFvtYGbD-KsXF8VLe3OwR9Q,405,CHALLENGER,I,1037,500,277,4,BOTTOM,"[145, 498, 64, 81, 523]"
GApyl4-VjYw8nXq2hIsI7OH6zJkVXthOlsi2XZunJB8duUw,357,CHALLENGER,I,1035,1202,626,5,UTILITY,"[12, 111, 526, 555, 497]"
CBzV1l4cIO2EC0_sw_WkUpQax0mfsrzLh1_Em7kRnZZ18cj0,134,GRANDMASTER,I,1035,922,493,3,MIDDLE,"[61, 268, 126, 777, 711]"
zHnSsu_KeobRyV4CNDK5M4qyixMeDmOfiiq3VaKOlkcsTvnKI2U2pYDnmA,276,CHALLENGER,I,1034,613,332,1,TOP,"[266, 58, 68, 24, 126]"
KMOFfgrGQ_gOwpiegsxFuCuPXaBBkzCLfCtSUb4_JvKwh-EjMUb7PcOCKQ,398,CHALLENGER,I,1033,886,468,1,TOP,"[897, 420, 163, 526, 24]"
Cwbj4rSUh0P-JvduZ8PyZVzEjOvPann3EGFWnYgnHVxhdQ,491,CHALLENGER,I,1032,335,193,2,JUNGLE,"[427, 79]"
zmMfW1SkTLDH8EEKEdsXf3NTHAEdT14yWjbvXsa6P9XaZqA,528,CHALLENGER,I,1032,188,124,5,UTILITY,"[497, 12, 111, 526, 53]"
XLb1wzKqi9ZwjblZlrBs-Qj7miMOr31HLiwYMbjA01YoQpU,416,CHALLENGER,I,1030,233,147,3,MIDDLE,"[20, 3, 31, 78, 25]"
F88sPIbR_xQhN_t0OmDvvdCnmVm0iFhRVjn8WYW8Q-HwZ3c,192,CHALLENGER,I,1030,297,177,3,MIDDLE,"[555, 246, 84, 238]"
TPi6XH0WruStH3mCNWUjh06aarann9WeDPi81_UB42xr9YM,557,CHALLENGER,I,1029,761,403,2,JUNGLE,"[64, 76, 104, 517, 163]"
h4r8VGbhCMpNFXffcMijwBFaLFz5rAcDZNz6tnomqySv2ngnT6ma19zK3w,205,CHALLENGER,I,1027,158,100,4,BOTTOM,"[81, 110, 498, 22, 429]"
Abn4ywnhMwMedkqPMaoKUniBpkuZrJws95Xi2p50ECzsuP_oDDktSeyXug,164,CHALLENGER,I,1026,745,399,1,TOP,"[24, 58, 126, 266, 39]"
na1pIGBs51GHOQTnbFD9n2ZGWkqjhHdZ1Y768FWgneRBuWA,562,GRANDMASTER,I,1024,1833,946,5,UTILITY,"[526, 412, 12, 497, 432]"
